TiO2,,,,,,,,,,,,,,,
density,4230,,,,,,,,,,,,,,
nr_of_n_in_ccn,100,,,,,,,,,,,,,,
tio2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
size-(no-source),2.32E-10,2.81E-10,3.14E-10,3.41E-10,3.66E-10,3.87E-10,4.06E-10,4.27E-10,4.39E-10,4.57E-10,4.75E-10,4.93E-10,5.11E-10,5.29E-10,5.47E-10
mass-(no-source),1.33E-25,2.65E-25,3.98E-25,5.3E-25,6.63E-25,7.96E-25,9.28E-25,1.06E-24,1.19E-24,1.33E-24,1.46E-24,1.6E-24,1.73E-24,1.86E-24,2E-24
Gibss-free-Energy-(Sindel-et-al-2022),,,,,,,,,,,,,,,
0,-303.054,-1097.35,-1910.02,-2748.93,-3576.87,-4507.85,-5355.72,-6245.52,-7098.54,-7993.69,-8855.77,-9792.63,-10640,-11553.6,-12499.8
100,-306.685,-1089.69,-1890.12,-2715.09,-3530.04,-4447.3,-5281.81,-6157.67,-6996.82,-7878.45,-8726.9,-9649.74,-10482.4,-11384,-12313.6
200,-309.801,-1078.04,-1862.74,-2670.14,-3468.55,-4369.08,-5186.83,-6045.42,-6867.17,-7732.48,-8564.07,-9470,-10283.8,-11172,-12077.8
298.15,-312.249,-1065.29,-1834,-2623.46,-3405.04,-4288.73,-5089.26,-5930.33,-6734.28,-7583.04,-8397.57,-9286.53,-10081.2,-10955.8,-11836.6
300,-312.291,-1065.05,-1833.45,-2622.57,-3403.83,-4287.2,-5087.41,-5928.14,-6731.76,-7580.2,-8394.41,-9283.05,-10077.4,-10951.7,-11832
400,-314.386,-1051.54,-1803.58,-2574.36,-3338.39,-4204.56,-4987.1,-5809.91,-6595.29,-7426.77,-8223.57,-9094.93,-9869.81,-10730.1,-11584.5
500,-316.223,-1037.84,-1773.6,-2526.12,-3272.99,-4122.05,-4886.99,-5691.94,-6459.16,-7273.73,-8053.27,-8907.44,-9663,-10509.3,-11337.7
600,-317.87,-1024.04,-1743.65,-2478.02,-3207.85,-4039.91,-4787.37,-5574.56,-6323.73,-7121.49,-7883.9,-8721,-9457.38,-10289.8,-11092.4
700,-319.365,-1010.2,-1713.76,-2430.11,-3143,-3958.17,-4688.26,-5457.8,-6189.04,-6970.09,-7715.5,-8535.64,-9252.98,-10071.5,-10848.4
800,-320.729,-996.321,-1683.94,-2382.38,-3078.42,-3876.81,-4589.63,-5341.6,-6055.02,-6819.45,-7547.98,-8351.26,-9049.67,-9854.41,-10605.7
900,-321.979,-982.418,-1654.18,-2334.8,-3014.09,-3795.78,-4491.43,-5225.93,-5921.61,-6669.52,-7381.26,-8167.77,-8847.35,-9638.4,-10364.2
1000,-323.117,-968.47,-1624.45,-2287.33,-2949.94,-3715,-4393.55,-5110.64,-5788.66,-6520.1,-7215.14,-7984.95,-8645.77,-9423.2,-10123.6
1100,-324.139,-954.456,-1594.71,-2239.88,-2885.87,-3634.35,-4295.85,-4995.58,-5656,-6371.01,-7049.4,-7802.56,-8444.68,-9208.53,-9883.57
1200,-324.919,-940.105,-1564.53,-2191.93,-2821.18,-3552.99,-4197.35,-4879.63,-5522.35,-6220.85,-6882.5,-7618.91,-8242.25,-8992.41,-9642
1300,-325.375,-925.243,-1533.66,-2143.09,-2755.43,-3470.39,-4097.42,-4762.05,-5386.89,-6068.69,-6713.42,-7432.9,-8037.27,-8773.56,-9397.51
1400,-325.756,-910.358,-1502.82,-2094.33,-2689.81,-3387.96,-3997.72,-4644.76,-5251.78,-5916.92,-6544.79,-7247.39,-7832.84,-8555.31,-9153.68
1500,-326.062,-895.443,-1471.99,-2045.63,-2624.3,-3305.69,-3898.22,-4527.72,-5116.95,-5765.49,-6376.54,-7062.3,-7628.88,-8337.57,-8910.4
1600,-326.293,-880.484,-1441.16,-1996.96,-2558.85,-3223.52,-3798.85,-4410.83,-4982.31,-5614.28,-6208.55,-6877.51,-7425.25,-8120.2,-8667.53
1700,-326.441,-865.469,-1410.29,-1948.28,-2493.41,-3141.37,-3699.54,-4294.02,-4847.79,-5463.19,-6040.71,-6692.89,-7221.82,-7903.05,-8424.9
1800,-326.504,-850.374,-1379.35,-1899.54,-2427.92,-3059.19,-3600.2,-4177.2,-4713.25,-5312.11,-5872.88,-6508.29,-7018.43,-7685.93,-8182.32
1900,-326.481,-835.208,-1348.35,-1850.75,-2362.39,-2976.98,-3500.83,-4060.36,-4578.71,-5161.04,-5705.07,-6323.72,-6815.07,-7468.87,-7939.8
2000,-325.913,-819.03,-1315.88,-1800.03,-2294.47,-2891.91,-3398.15,-3939.75,-4439.93,-5005.26,-5532.1,-6133.54,-6605.63,-7245.26,-7690.28
2100,-324.925,-802.103,-1282.32,-1747.89,-2224.79,-2804.76,-3293.05,-3816.39,-4298.07,-4846.07,-5355.38,-5939.26,-6391.77,-7016.89,-7435.67
2200,-323.811,-784.994,-1248.53,-1695.47,-2154.79,-2717.22,-3187.52,-3692.54,-4155.67,-4686.29,-5178.02,-5744.3,-6177.18,-6787.75,-7180.22
2300,-322.565,-767.701,-1214.5,-1642.75,-2084.43,-2629.28,-3081.54,-3568.17,-4012.7,-4525.89,-4999.99,-5548.6,-5961.8,-6557.76,-6923.88
2400,-321.196,-750.235,-1180.25,-1589.76,-2013.75,-2540.97,-2975.13,-3443.34,-3869.22,-4364.92,-4821.34,-5352.24,-5745.7,-6326.99,-6666.72
2500,-319.714,-732.614,-1145.8,-1536.53,-1942.79,-2452.33,-2868.34,-3318.09,-3725.27,-4203.44,-4642.14,-5155.28,-5528.97,-6095.56,-6408.84
2600,-318.111,-714.82,-1111.13,-1483.02,-1871.49,-2363.3,-2761.12,-3192.34,-3580.78,-4041.37,-4462.28,-4957.62,-5311.47,-5863.31,-6150.1
2700,-316.408,-696.879,-1076.26,-1429.28,-1799.93,-2273.97,-2653.55,-3066.21,-3435.86,-3878.82,-4281.92,-4759.41,-5093.39,-5630.42,-5890.67
2800,-314.594,-678.783,-1041.2,-1375.3,-1728.07,-2184.29,-2545.59,-2939.64,-3290.46,-3715.74,-4100.98,-4560.58,-4874.64,-5396.82,-5630.5
2900,-312.673,-660.536,-1005.94,-1321.07,-1655.92,-2094.28,-2437.25,-2812.64,-3144.58,-3552.15,-3919.48,-4361.13,-4655.23,-5162.52,-5369.57
3000,-310.66,-642.154,-970.507,-1266.63,-1583.52,-2003.98,-2328.58,-2685.28,-2998.3,-3388.11,-3737.49,-4161.17,-4435.26,-4927.62,-5108
3100,-308.543,-623.628,-934.883,-1211.96,-1510.85,-1913.35,-2219.54,-2557.51,-2851.56,-3223.57,-3554.96,-3960.61,-4214.66,-4692.04,-4845.71
3200,-306.332,-604.969,-899.085,-1157.07,-1437.91,-1822.43,-2110.17,-2429.36,-2704.4,-3058.57,-3371.93,-3759.51,-3993.48,-4455.84,-4582.76
3300,-304.03,-586.167,-863.102,-1101.95,-1364.71,-1731.2,-2000.44,-2300.8,-2556.8,-2893.08,-3188.36,-3557.84,-3771.67,-4218.97,-4319.1
3400,-301.639,-567.248,-826.967,-1046.65,-1291.29,-1639.71,-1890.42,-2171.92,-2408.83,-2727.2,-3004.37,-3355.7,-3549.37,-3981.57,-4054.87
3500,-299.159,-548.196,-790.658,-991.125,-1217.6,-1547.92,-1780.05,-2042.66,-2260.45,-2560.85,-2819.87,-3153.02,-3326.47,-3743.54,-3789.97
3600,-296.591,-529.023,-754.19,-935.409,-1143.68,-1455.85,-1669.38,-1913.05,-2111.68,-2394.08,-2634.91,-2949.84,-3103.05,-3504.94,-3524.46
3700,-286.155,-494.15,-694.195,-848.339,-1030.58,-1316.79,-1503.88,-1720.78,-1892.42,-2149,-2363.82,-2652.69,-2777.84,-3156.73,-3141.52
3800,-272.169,-452.228,-623.646,-747.217,-899.935,-1156.66,-1313.82,-1500.46,-1641.61,-1868.86,-2054.15,-2313.48,-2407.05,-2759.44,-2705.99
3900,-258.142,-410.259,-553.056,-646.05,-769.236,-996.492,-1123.71,-1280.08,-1390.74,-1588.66,-1744.44,-1974.22,-2036.22,-2362.09,-2270.41
4000,-244.057,-368.229,-482.394,-544.801,-638.446,-836.218,-933.486,-1059.58,-1139.75,-1308.33,-1434.58,-1634.79,-1665.21,-1964.58,-1834.65
4100,-229.936,-326.161,-411.69,-443.511,-507.62,-675.902,-743.226,-839.046,-888.71,-1027.95,-1124.68,-1295.33,-1294.17,-1567.01,-1398.84
4200,-215.756,-284.016,-340.897,-342.118,-376.674,-515.459,-552.819,-618.351,-637.499,-747.388,-814.572,-955.648,-922.89,-1169.2,-962.774
4300,-201.53,-241.819,-270.037,-240.651,-245.639,-354.917,-362.304,-397.533,-386.155,-466.68,-504.317,-615.805,-551.437,-771.211,-526.513
4400,-187.254,-199.561,-199.119,-139.111,-114.525,-194.288,-171.696,-176.616,-134.706,-185.864,-193.936,-275.832,-179.85,-373.078,-90.099
4500,-172.931,-157.244,-128.118,-37.4794,16.6871,-33.5466,19.0453,44.4421,116.899,95.1247,116.625,64.335,191.944,25.2794,346.548
4600,-158.544,-114.847,-57.0244,64.2634,148.042,127.355,209.958,265.697,368.718,376.353,427.441,404.78,564.035,423.95,783.529
4700,-144.119,-72.4003,14.1314,166.082,279.47,288.342,400.963,487.056,620.649,657.695,738.382,745.357,936.267,822.774,1220.67
4800,-129.645,-29.8878,85.3648,267.989,411.008,449.453,592.111,708.565,872.749,939.219,1049.53,1086.15,1308.73,1221.84,1658.07
4900,-115.114,12.6977,156.686,370.004,542.665,610.701,783.414,930.25,1125.04,1220.96,1360.89,1427.19,1681.45,1621.18,2095.77
5000,-100.531,55.3466,228.099,472.125,674.45,772.094,974.876,1152.11,1377.52,1502.9,1672.49,1768.47,2054.44,2020.81,2533.76
5200,-71.2159,140.859,371.178,676.681,938.388,1095.3,1358.28,1596.37,1883.08,2067.44,2296.38,2451.78,2801.22,2820.93,3410.67
5400,-41.7069,226.639,514.595,881.637,1202.79,1419.05,1742.29,2041.3,2389.39,2632.79,2921.16,3136.05,3549.02,3622.13,4288.73
5600,-11.9905,312.701,658.382,1087.05,1467.73,1743.4,2127,2487.02,2896.55,3199.09,3546.96,3821.43,4298.01,4424.61,5168.14
5800,17.9169,399.031,802.502,1292.86,1733.16,2068.32,2512.33,2933.42,3404.48,3766.22,4173.67,4507.79,5048.06,5228.21,6048.76
6000,48.0215,485.636,946.978,1499.12,1999.1,2393.83,2898.35,3380.6,3913.26,4334.29,4801.39,5195.24,5799.28,6033.07,6930.71
